what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428491150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428537260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428539087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428540556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428542150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429087228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429089855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429091056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429092260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429094672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429095181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429097915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429098013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429204423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429204962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429206728
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1784429206868
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784429207009
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1784429208416
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1784429208416
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1784429208416
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1784429209134
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1784429209135
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1784429209135
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1784429209135
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1784429209135
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1784429209135
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1784429209151
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1784429209151
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1784429209151
